ResponseId,Why did you consider using online exam proctoring tools?,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_3L8Yuota6qEPA2Z,,,,,,,,,
R_elKRE1Mhkz3aB7H,,,,,,,,,
R_22G2wZhQPr0NOMF,,,,,,,,,
R_1jm0AccugHTKh4W,,,,,,,,,
R_3HHYAi3jlMWGeIl,ensure integrity,test_integrity,,,,,,,
R_1cYZmUuFGQPtR2U,,,,,,,,,
R_2tm5hQExW5ForsK,,,,,,,,,
R_a9PJA7VBZp1N9O9,,,,,,,,,
R_9RCP2gPmQF9rHK9,,,,,,,,,
R_WBuSYDYA2xuDQYh,Concern about cheating.,cheating,,,,,,,
R_1gcjj4iwoLqpxgB,,,,,,,,,
R_1jZC3KQIUihjpOR,,,,,,,,,
R_2Ygpa6T91hXAiJr,,,,,,,,,
R_Y5NExEgDkOUjIn7,to reduce/eliminate academic dishonesty,cheating,cheating->reduce_cheating,,,,,,
R_C3Vzye9ndoMM88x,,,,,,,,,
R_2dgVaNawsger4T7,infection risk from in-person exams (large groups),covid,covid->infection_risk,,,,,,
R_2fcSVGg2U6c2MXb,During the pandemic and when classes were remote I did give a midterm in one of my classes.,possible_exam_method,possible_exam_method->midterm,,,,,,
R_2z5Rfh5yoJDnxQI,,,,,,,,,
R_vCDwu3GQIi0JCHn,,,,,,,,,
R_2al47N2wbxXFDh1,,,,,,,,,
R_12sxDUBTRANlxAh,,,,,,,,,
R_usPmuq57yl9S5FL,Academic integrity; and the seriousness of the exam.,test_integrity,exam_seriousness,,,,,,
R_2zcJyOL3rOl9eCd,,,,,,,,,
R_3DhdmO3C0hKAjmF,,,,,,,,,
R_2qgbEu23HZIOAqU,,,,,,,,,
R_26nmfVuk8nYOOT7,,,,,,,,,
R_3LbBRoje9wOhQRA,,,,,,,,,
R_3DcIECQmJC5rLan,,,,,,,,,
R_1eKbeLSPmt46YIu,,,,,,,,,
R_3fAw4HjiCRicvSV,"I did not use online exam proctoring in Spring, 2020, and caught a few students posting my exam questions to Chegg mid-exam. That was an unpleasant experience that I hoped to avoid repeating.",cheating,cheating->caught_students,,,,,,
R_3nIU4hnDI1oIjfQ,,,,,,,,,
R_080f7ur83jJNwu5,,,,,,,,,
R_pJyGl4gPSX7l7AR,,,,,,,,,
R_1q9uhFdqxnWPM7z,,,,,,,,,
