ResponseId,"Why are, or aren't you considering administering assessment online during Fall 2021?",Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_xxgR2nBYBqt22zL,don't understand the question,misunderstood,,,,,,,
R_3rUiQC1VIie88yc,Same as earlier,same_as_before,,,,,,,
R_10JJtgPJ5vEkvEy,I will continue online proctoring,continue_remote_proctoring,,,,,,,
R_1laTV7GioLkl7GC,No need now that we're back f-2-f.,in_person_exams,,,,,,,
R_1Lo3vqbmrfq2OSc,Prefer to administer tests in person,in_person_exams,,,,,,,
R_SZEy3bxuQafYPAt,"Even if we have in person class, it will be much more convenient and secure to administer the exam with online proctoring tools. It will save students money in regards to commuting costs if they are able to stay home or go to a location close to their home.",continue_remote_proctoring,,,,,,,
R_1dy5ZcEklvFBkRf,See last answer - department requires it,required,,,,,,,
R_zf2G4MXsH0LQbKh,We are live and the students want live interaction,in_person_exams,,,,,,,
R_3Ia7rRRp8jn0pVq,"I use online assessments, yes. However, we use a computer lab on campus and I proctor the assignment in person. Therefore, there is no need for the online proctoring tool.",in_person_exams,,,,,,,
R_2ByvQ4CrDcGDzV8,The ONLY reason I would administer an online test would be because it is convenient for faculty and to keep the student from getting behind.,convenient,,,,,,,
R_2wtsffSpp3iArtP,Students cheat,cheating,,,,,,,
R_DDitAE9bDhnUgql,I have taken a much more open approach to my exam policies and allow students to have access to utilize course materials that they feel fit in a timely manner and not worry about cheating to the greatest degree.,open_book,lax_on_cheating,,,,,,
R_R9neLfVroeGJSj7,"Because of the security of the remote testing. We are back in person, so prefer to test in person.",in_person_exams,,,,,,,
R_1DZn1lLvUnQdssQ,No need to give exams remotely since we are meeting on campus.,in_person_exams,,,,,,,
R_1GJ4fI4ldXCLjOI,"My final exam is schedule for quite late in the semester this year, so I have made the final exam virtual in order to afford students the option to travel home early and take it from there if that benefits them. Virtual proctoring will help provide a similar experience to the in-class exam and I likely would not have decided to hold the final exam virtually if it were not available.",continue_remote_proctoring,,,,,,,
R_uy2ionLPQqwyGrf,"prefer the classroom testing environment, find that students perform better in this setting",in_person_exams,,,,,,,
R_1HbC0kAIur9b835,Cheating is main concern,cheating,,,,,,,
R_QaJJ90CEf2yOZCV,Need to see what students think.,asks_students,,,,,,,
R_1Qmc5taIHgtiqm7,Because the students are taking the exams in person unless they need to take a makeup.,in_person_exams,,,,,,,
R_1JRgXi5Eg2fMWYz,Required,required,,,,,,,
R_2whmJviFAaRw9RV,I'm fully in-person.,in_person_exams,,,,,,,
R_2dhlE62KjqYZ0hI,Students can complete their exams off site.,off_site,,,,,,,
R_1LRJoZJO7s9RGf7,We have a vaccine and we are back face to face,in_person_exams,,,,,,,
R_1r07Pa4ecdVBFus,It will continue to be used in the online program in which I teach.,continue_remote_proctoring,,,,,,,
R_1IQQnYLDAqQoVUI,"Online assessment have to be open book in my opinion, and I'd prefer closed book exams. So given in person option I would avoid using online assessment.",open_book,,,,,,,
R_OcI5fmeuckGNlqV,"We had some issues recently with students being able to get on. Again, looking at potentially doing the lock down browser with in person monitoring for the Spring.",continue_remote_proctoring,,,,,,,
