ResponseId,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q33_12
R_xxgR2nBYBqt22zL,,,,,,Extremely comfortable,,,,,,
R_3rUiQC1VIie88yc,,,,,,Extremely comfortable,,,,,,
R_10JJtgPJ5vEkvEy,Somewhat comfortable,,,,,Extremely comfortable,,,Extremely comfortable,,,Extremely comfortable
R_1laTV7GioLkl7GC,,,,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,,,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable
R_1Lo3vqbmrfq2OSc,,,,,,,,,,,,
R_SZEy3bxuQafYPAt,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable
R_1dy5ZcEklvFBkRf,,Somewhat comfortable,Extremely comfortable,Somewhat comfortable,Somewhat uncomfortable,Extremely comfortable,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable
R_zf2G4MXsH0LQbKh,,,,,,Extremely comfortable,,,,,,
R_3Ia7rRRp8jn0pVq,Extremely comfortable,,,,,Extremely comfortable,,,,,,Neither comfortable nor uncomfortable
R_2ByvQ4CrDcGDzV8,,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,,Extremely comfortable,Extremely comfortable,Extremely comfortable,,Extremely comfortable
R_2wtsffSpp3iArtP,,,,,,,,,,,,
R_DDitAE9bDhnUgql,,,,,,Extremely comfortable,,,,,,
R_R9neLfVroeGJSj7,Extremely comfortable,,,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,,Somewhat comfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat comfortable,Somewhat uncomfortable
R_1DZn1lLvUnQdssQ,,,,,,Extremely comfortable,,,,Extremely comfortable,,
R_1GJ4fI4ldXCLjOI,Extremely comfortable,,,,,,,,,,,
R_uy2ionLPQqwyGrf,,Extremely comfortable,,,,Extremely comfortable,,,,Somewhat comfortable,,Somewhat comfortable
R_1HbC0kAIur9b835,,,,,,Somewhat comfortable,,,,,,
R_QaJJ90CEf2yOZCV,Extremely comfortable,,,Somewhat comfortable,Extremely comfortable,Extremely comfortable,,,,Somewhat comfortable,,Somewhat comfortable
R_1Qmc5taIHgtiqm7,,,,Somewhat uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,,,,Somewhat uncomfortable,,Somewhat uncomfortable
R_1JRgXi5Eg2fMWYz,,,Extremely comfortable,,,,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable
R_2whmJviFAaRw9RV,,,,,,Extremely comfortable,Extremely comfortable,Extremely comfortable,,,Extremely comfortable,
R_2dhlE62KjqYZ0hI,,,,,Somewhat comfortable,Extremely comfortable,,,,,,
R_1LRJoZJO7s9RGf7,,,,,,,,,,,,
R_1r07Pa4ecdVBFus,,Somewhat comfortable,,Extremely comfortable,Extremely comfortable,Extremely comfortable,,,Extremely comfortable,Extremely comfortable,,Extremely comfortable
R_1IQQnYLDAqQoVUI,Somewhat comfortable,,,,Somewhat comfortable,Extremely comfortable,,,,,,Somewhat comfortable
R_OcI5fmeuckGNlqV,,,,,Extremely comfortable,Extremely comfortable,,,,,,Neither comfortable nor uncomfortable
