ResponseId,Examsoft,ProctorU,Respondus,RPNow,Other,Total
R_xxgR2nBYBqt22zL,,,Not at all concerned,,,Not at all concerned
R_3rUiQC1VIie88yc,,,Not at all concerned,,,Not at all concerned
R_10JJtgPJ5vEkvEy,,Not at all concerned,,,,Not at all concerned
R_1laTV7GioLkl7GC,,,Moderately concerned,,Slightly concerned,Slightly concerned
R_1Lo3vqbmrfq2OSc,,,Not at all concerned,,,Moderately concerned
R_SZEy3bxuQafYPAt,,,,Not at all concerned,,Not at all concerned
R_1dy5ZcEklvFBkRf,,,,,Slightly concerned,Not at all concerned
R_zf2G4MXsH0LQbKh,,,Not at all concerned,,,Slightly concerned
R_3Ia7rRRp8jn0pVq,,,,,,Not at all concerned
R_2ByvQ4CrDcGDzV8,Extremely concerned,,,,Somewhat concerned,Extremely concerned
R_2wtsffSpp3iArtP,,,,,,Somewhat concerned
R_DDitAE9bDhnUgql,,,Somewhat concerned,,,Somewhat concerned
R_R9neLfVroeGJSj7,Moderately concerned,,,,,Moderately concerned
R_1DZn1lLvUnQdssQ,,,Not at all concerned,,,Not at all concerned
R_1GJ4fI4ldXCLjOI,,,,,Not at all concerned,Not at all concerned
R_uy2ionLPQqwyGrf,,,Slightly concerned,,,Slightly concerned
R_1HbC0kAIur9b835,,,Moderately concerned,,,Moderately concerned
R_QaJJ90CEf2yOZCV,,,Not at all concerned,,,Not at all concerned
R_1Qmc5taIHgtiqm7,,,Somewhat concerned,,,Somewhat concerned
R_1JRgXi5Eg2fMWYz,,,,Slightly concerned,,Slightly concerned
R_2whmJviFAaRw9RV,,,Not at all concerned,,,Not at all concerned
R_2dhlE62KjqYZ0hI,,,Not at all concerned,,,Not at all concerned
R_1LRJoZJO7s9RGf7,,,,,Not at all concerned,Not at all concerned
R_1r07Pa4ecdVBFus,,,,Not at all concerned,,Not at all concerned
R_1IQQnYLDAqQoVUI,,,Slightly concerned,,,Slightly concerned
R_OcI5fmeuckGNlqV,,,Not at all concerned,,,Not at all concerned
