ResponseId,"Why would, or wouldn't you consider using online exam proctoring if in person learning resumed?",Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_xxgR2nBYBqt22zL,allows computerized exams even in life classes,would_consider,,,,,,,
R_3rUiQC1VIie88yc,"I would only do in-person exams. If a student was not able to be there, then we would figure that out on an individual basis (what tools to use).",not_consider,not_consider->prefer_in_person,,,,,,
R_10JJtgPJ5vEkvEy,"now that students have experienced learning from home, many do not want to return to the classroom so hybrid learning is a great way to go and part of the hybrid in my course would be online exams.",would_consider,would_consider->in_hybrid_courses,,,,,,
R_1laTV7GioLkl7GC,"Would only need if for extenuating circumstances (e.g., Covid + or in quarantine).",may_consider,may_consider->extenuating_circumstances,,,,,,
R_1Lo3vqbmrfq2OSc,In person testing is preferable,not_consider,not_consider->prefer_in_person,,,,,,
R_SZEy3bxuQafYPAt,"I prefer online proctoring for high level of security and convenience for students and faculty. Also, it provides exam results much faster than the previous method the program utilized. There’s decreased cost to the student if they do not need to pay for commuting costs that day.",would_consider,would_consider->prefer_online_proctoring,security,,,,,
R_1dy5ZcEklvFBkRf,See previous answer - department requires its use,department_requires,,,,,,,
R_zf2G4MXsH0LQbKh,I believe in person brings a level of equity,not_consider,not_consider->more_equity_in_person,,,,,,
R_3Ia7rRRp8jn0pVq,"I can see them being useful for asynchronous quizzes in the future. However, we are all in person and on campus already, so it is easy for me to proctor in person.",may_consider,may_consider->asynch_quizzes,,,,,,
R_2ByvQ4CrDcGDzV8,Tests are invalid due to increased opportunities for students to cheat.,not_consider,not_consider->cheating_too_easy,,,,,,
R_2wtsffSpp3iArtP,May be some of the quizzes and part of Exams,would_consider,would_consider->for_quizzes,,,,,,
R_DDitAE9bDhnUgql,"I think they have a time/place, but overall I haven't had a lot of consistent success with them and ultimately do not want to invade my student's privacy.",not_consider,not_consider->student_privacy,,,,,,
R_R9neLfVroeGJSj7,Test security,security,,,,,,,
R_1DZn1lLvUnQdssQ,No need to give exams remotely since we are meeting on campus.,not_consider,not_consider->no_need,,,,,,
R_1GJ4fI4ldXCLjOI,I think it is a helpful option for times when holding exams virtually provides flexibility for students and faculty while still meeting course objectives and assessment standards.,would_consider,would_consider->offers_flexibility,,,,,,
R_uy2ionLPQqwyGrf,same reasons as listed in last two questions,unclear,,,,,,,
R_1HbC0kAIur9b835,Paper-based exams are great,not_consider,not_consider->prefer_in_person,,,,,,
R_QaJJ90CEf2yOZCV,Depends on what students think,may_consider,may_consider->depends_on_students,,,,,,
R_1Qmc5taIHgtiqm7,Unnecessary,not_consider,not_consider->no_need,,,,,,
R_1JRgXi5Eg2fMWYz,My courses are online,online_courses,,,,,,,
R_2whmJviFAaRw9RV,"As above, it's just too easy to evade the online proctoring.",not_consider,not_consider->cheating_too_easy,,,,,,
R_2dhlE62KjqYZ0hI,Would likely return to in person exams however could see using online exams with in person proctoring.,not_consider,,,,,,,
R_1LRJoZJO7s9RGf7,Might consider if an option for someone who has to miss an exam as it is silly to come in to proctor in person ONE person,may_consider,may_consider->for_missed_exams,,,,,,
R_1r07Pa4ecdVBFus,I teach solely online.,online_courses,,,,,,,
R_1IQQnYLDAqQoVUI,"I prefer the exams to be in person and closed booked. Online exams have to be open book in my opinion (otherwise too hard to catch cheaters even with online proctoring). So if there is no concerns about pandemic, exams should definitely be in person.",not_consider,not_consider->cheating_too_easy,,,,,,
R_OcI5fmeuckGNlqV,"As previously mentioned, I like to use Blackboard for the tests because you can embed videos and pictures into questions and the students can go through at their own pace. For those reasons I wouldn't want to always do a pen and paper test. However, I do like the lock down browser even with in person monitoring to help ensure validity of the test.",would_consider,would_consider->ensure_test_validity,,,,,,
