StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,IC1,IC2,IC3,Q1,Q2,Q2_16_TEXT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5,Q6,N1,N2,N3,N4,N5,Q35,Q7,Q7_9_TEXT,Q8,Q9,Q9_7_TEXT,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_14_TEXT,Q30,Q31,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q33_12,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q34_9,Q34_10,Q34_11
12/2/2021 9:37,12/2/2021 9:42,100,268,TRUE,12/2/2021 9:42,R_3L8Yuota6qEPA2Z,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,"PSC, FILM, AMST",Unaware,Unaware,Aware,Unaware,Aware,Unaware,Unaware,Unaware,Monitor student's actions and movements (and room content) to make sure they are not cheating on an exam.,No,No,,I think online exam proctoring tools are awful and treat students like garbage. They instill fear and confusion far beyond whatever benefits a professor might imagine they confer. I think they are dystopic. I would never use them or treat students in such a disrespectful way.,All of my class assignments are written papers in different formats. I have students submit assignments using safeassign on blackboard.,Extremely unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2021 10:58,12/2/2021 11:15,100,982,TRUE,12/2/2021 11:15,R_elKRE1Mhkz3aB7H,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,Speech and Hearing,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,My understanding is that it locks the screen to prevent toggling/internet searching and monitors student movement. Potentially some eye tracking as well?,No,No,,Adjusting to take-home or open book format just seemed easier and less hassle.,"Allowed for ""open book"" quiz taking but put a time limit (via Blackboard) in place, hoping to avoid conditions where a student was completely unfamiliar with the material and attempting to take the quiz based only on the textbook. Also included quiz questions and extra credit questions that were based only on information provided in lecture and not from materials provided.",Neither likely nor unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2021 12:05,12/2/2021 12:10,100,264,TRUE,12/2/2021 12:10,R_22G2wZhQPr0NOMF,EN,Yes,Yes,Yes,Yes,School of Medicine & Health Sciences,,Emergency Health Services,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,I'm Unsure,Unaware,Controlling other applications and windows on student's computer; allow access to microphone and video for environmental awareness,No,No,,Unaware of options. Unsure of need.,"Honor system for online final exam, kept overall value of final exam <20% of course grade. Avoided other use of traditional exams and quizzes in lieu of project work.",Somewhat likely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2021 13:01,12/2/2021 13:12,100,627,TRUE,12/2/2021 13:12,R_1jm0AccugHTKh4W,EN,Yes,Yes,Yes,Yes,Milken Institute School of Public Health,,Public Health,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,"I'm not sure. Our exams were completed via Blackboard, which I suppose is not proctored.",No,No,,I'm not sure that I was aware of them. The decision also wasn't completely in my hands. The students are aware of Blackboard and it was easy to make available in their gradebook.,We had them sign off on their understanding of the academic integrity code. They had to sign their name and thus were responsible if anything happened. They were explicitly told what was open book or closed book and any papers were submitted via TurnItIn.com.,Neither likely nor unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2021 13:18,12/2/2021 13:21,100,193,TRUE,12/2/2021 13:21,R_3HHYAi3jlMWGeIl,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,"""public policy """,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,"""never used one """,No,Yes,ensure integrity,more trust in masters students,self-proctored.,Somewhat unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2021 13:54,12/2/2021 13:59,100,282,TRUE,12/2/2021 13:59,R_1cYZmUuFGQPtR2U,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,political science,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,I have no good understanding of these tools.,No,No,,I do not know how to use them and do not trust them.,I redesigned courses so that graded assignments were papers rather than tests.,Neither likely nor unlikely,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2021 7:36,12/3/2021 7:39,100,168,TRUE,12/3/2021 7:39,R_2tm5hQExW5ForsK,EN,Yes,Yes,Yes,Yes,Graduate School of Political Management,,communications,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,"a variety of ways, powered off AI I assume",No,No,,"communications does not lend well to exams, we do papers and other final projects",,Neither likely nor unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2021 7:37,12/3/2021 7:41,100,234,TRUE,12/3/2021 7:41,R_a9PJA7VBZp1N9O9,EN,Yes,Yes,Yes,Yes,Milken Institute School of Public Health,,Epidemiology,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Time limit for exam; video feed?,No,No,,Changed to take home exams to relieve student stress,Honor code,Extremely unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2021 7:43,12/3/2021 7:50,100,368,TRUE,12/3/2021 7:50,R_9RCP2gPmQF9rHK9,EN,Yes,Yes,Yes,Yes,College of Professional Studies,,Python Programming,Unaware,Aware,Unaware,Unaware,Unaware,Aware,Aware,Unaware,"Like the surveillance state, they monitor the students in ways that increase their anxiety and obliterate their ability to learn. Please stop putting prison technology into our schools.",No,No,,Proctoring tools monitor the students in ways that increase their anxiety and obliterate their ability to learn. Please stop putting prison technology into our schools.,"With compassion, patience, and care. Instead of increasing student stress by enforcing a police state in my online classroom, I created several smaller assignments that required students to reflect and evaluate their own learning throughout the course.",Extremely unlikely,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2021 7:56,12/3/2021 8:11,100,922,TRUE,12/3/2021 8:11,R_WBuSYDYA2xuDQYh,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,Chemistry,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,Aware,Unaware,"Two components: one locking the computer to prevent access to any tool but the window with the test, one tracking the student behavior and environment (based on image recognition, tracking gaze, bckground noise etc.).",No,Yes,Concern about cheating.,"""Multiple reasons: - it would not really prevent cheating: the computer lock easily worked around by use of a virtual box: instructions are easily found on the internet and the movement tracking can be worked around using post-its on the computer frame and similar positioning measures, or simply paying someone else to take the test... - fairness issues (some students would be affected more than other by the added stress; reported issues of racial bias in some of the image recognition algorithms etc.) - privacy issues, some I consider possibly problematic (recording by third party), some not, but which would have raised students objections.""","""Large class: gave up. Online exam open for 2 days (to accommodate student in different time zones), so cheating was widespread (Chegg, group channels discussion etc.). Some we caught, were able to prove and sanction, most we did not. Academic integrity was discussed in class beforehand, it was made clear the class would not be curved (thus not being unfair to the non-cheaters) and an academic integrity statement was included in the exam. Smaller class: in person proctoring via Bb collaborate (microphone and camera open) to mimic face-to-face exam conditions as much as possible. Student scan and email exam at the end of the exam time. Still included a fair amount of trust (student had connection issues, etc.), but worked well (upperclassmen), no cheating suspected.""",Extremely unlikely,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
