StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,IC1,IC2,IC3,Q1,Q2,Q2_16_TEXT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5,Q6,N1,N2,N3,N4,N5,Q35,Q7,Q7_9_TEXT,Q8,Q9,Q9_7_TEXT,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_14_TEXT,Q30,Q31,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q33_12,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q34_9,Q34_10,Q34_11
12/2/2021 8:46,12/2/2021 8:55,100,582,TRUE,12/2/2021 8:55,R_xxgR2nBYBqt22zL,EN,Yes,Yes,Yes,Yes,School of Business,,Management,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,"lock-down browser restricts students' activities to proctored exam, plus potentially monitoring students via built-in camera during exam",Yes,,,,,,Yes,Respondus,,Appearance of exam questions on Chegg.com etc.,"Course exam (e.g. test, midterm exam, final exam)",,2,"assuring students that compliance with closed-book exam policies does not put them at a disadvantage compared to students willing to cheat (i.e., fairness)","not completely eliminating cheating attempts; technological glitches (e.g., VPNs, roommates, etc.); students nervous about being monitored",Extremely likely,reported glitches (background noise or roommate/family member walking in background) triggers lock-down,Extremely likely,don't understand the question,Extremely likely,allows computerized exams even in life classes,Strongly agree,51-75%,No,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,no camera,Not at all concerned,widespread use/adoption,Lockdown browser,,Yes,discouraged copying/pasting exam questions to Chegg.com etc.,,Somewhat uncomfortable,Extremely uncomfortable,Somewhat comfortable,Extremely uncomfortable,Somewhat uncomfortable,Extremely comfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Extremely uncomfortable,Somewhat comfortable,Extremely uncomfortable,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Not at all Concerned,Not at all Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Not at all Concerned
12/3/2021 12:10,12/3/2021 12:23,100,753,TRUE,12/3/2021 12:23,R_3rUiQC1VIie88yc,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,Psychology,Unaware,Unaware,Aware,Unaware,Unaware,Unaware,Aware,Unaware,"We primarily relied on trust. We had time limits, used the software so they could not access anything else on their computer, but had no idea if they were using their textbook or phone, etc. while taking the exam. Some students with not so great grades on exams we assume were being honest. For others, it was hard to know.",Yes,,,,,,Yes,Respondus,,"Type of exam, student access (what worked on their computer), etc.","Course exam (e.g. test, midterm exam, final exam)",,5+,"Not many compared to in person. We could not use anything with a camera since many of our students said they did not have a camera or felt uncomfortable with it. We also had students in different countries, etc. that had limits to what they could do/access.","It's hard with 170 students to fully know who is being honest vs. not since although they had lock down on their computer and had time limits, etc. they could have still been accessing their textbook or other notes written out.",Extremely likely,"We would use what we could and what would work for most students and the TA. However, none of the methods we knew about were as good as them actually being in the classroom.",Extremely likely,Same as earlier,Extremely unlikely,"I would only do in-person exams. If a student was not able to be there, then we would figure that out on an individual basis (what tools to use).",Somewhat disagree,26-50%,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Lockdown alone is not a concern. The only concern is if we used cameras as well.,Not at all concerned,It worked for all but a few students.,Lockdown browser,,Yes,"It was one of the few we knew about, worked for almost all students, was easy for the TAs to use when doing exams via Blackboard, etc. Students did not feel comfortable or said they did not have a camera so we could not go that route.",,Somewhat comfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Extremely comfortable,Somewhat uncomfortable,Extremely comfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat comfortable,Somewhat uncomfortable,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Moderately Concerned,Slightly Concerned,Slightly Concerned,Somewhat Concerned,Somewhat Concerned,Slightly Concerned,Slightly Concerned,Not at all Concerned
12/3/2021 18:24,12/3/2021 19:59,100,5699,TRUE,12/3/2021 19:59,R_10JJtgPJ5vEkvEy,EN,Yes,Yes,Yes,Yes,School of Nursing,,Nursing,Unaware,Aware,Unaware,Unaware,Aware,Unaware,Aware,Aware,Quite well,Yes,,,,,,Yes,ProctorU,,Decided by department dean,"Course exam (e.g. test, midterm exam, final exam)",,5+,"""ease of use can be done online""",cost,Extremely likely,If I cannot be there in person to proctor an exam the next best thing is online proctoring,Extremely likely,I will continue online proctoring,Extremely likely,"now that students have experienced learning from home, many do not want to return to the classroom so hybrid learning is a great way to go and part of the hybrid in my course would be online exams.",Strongly disagree,26-50%,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I did not pay much attention to this,Not at all concerned,I do not have an opinion about this,"Live proctor visible to students,Lockdown browser,Screen recording,Webcam recording",,Yes,It deters students from cheating,,Somewhat comfortable,Somewhat uncomfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned
12/5/2021 13:01,12/5/2021 13:18,100,967,TRUE,12/5/2021 13:18,R_1laTV7GioLkl7GC,EN,Yes,Yes,Yes,Yes,School of Nursing,,Nursing,Unaware,Aware,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,The proctoring is not live but hopefully the proctoring tools deter students from cheating.,Yes,,,,,,No,Other (Please specify),Proctorio,"""1. Already using this product - the proctoring version for the online environment is called Examplify (w/ ExamSoft). 2. Nursing students also take standardized exams via ATI - their proctoring service in an online environment is called Proctorio. """,I have not administered an exam with online proctoring,,5+,"To deter cheating. Keep in mind that now that we are back to f-2-f cheating, we have not used a proctoring service unless a student tests positive for COVID and/or is in quarantine.","Cost. Plus they don't prevent cheating - students can look up ways on the Internet for workarounds. But they do deter cheating. However, I have to believe that the majority of our students do not cheat.",Extremely likely,It's the only main way to control for academic integrity when not face-to-face.,Extremely unlikely,No need now that we're back f-2-f.,Extremely unlikely,"Would only need if for extenuating circumstances (e.g., Covid + or in quarantine).",Somewhat agree,0-25%,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Don't know much about it - only use it b/c it was associated with a current product we use.,Slightly concerned,Just don't know enough to answer this question; defer to our OLIT team who vet the software.,"Eye movement tracking,Facial detection,Lockdown browser,Screen recording,Microphone recording,Webcam recording",,Yes,Again - not perfect but do believe they deter cheating.,,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned
12/5/2021 17:03,12/5/2021 17:23,100,1181,TRUE,12/5/2021 17:23,R_1Lo3vqbmrfq2OSc,EN,Yes,Yes,Yes,Yes,Columbian College of Arts & Sciences,,Biomedical Sciences,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,Not sure,Yes,,,,,,Yes,Respondus,,It was recommended bu the school,"Course exam (e.g. test, midterm exam, final exam)",,2,Ensuring that students don't use web resources to complete the test,It implies lack of trust between students and instructors,Neither likely nor unlikely,It implies lack of trust,Neither likely nor unlikely,Prefer to administer tests in person,Extremely unlikely,In person testing is preferable,Neither agree nor disagree,Prefer not to answer,No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Monitoring implies that we think students will cheat and that sounds like guilty until proven innocent,Moderately concerned,I don't like forcing students to do something that implies that they might be dishonest,I do not know/remember,,I'm Unsure,,I would devise a take home exam that doesn't need proctoring,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Extremely Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned,Somewhat Concerned
12/6/2021 6:21,12/6/2021 6:44,100,1331,TRUE,12/6/2021 6:44,R_SZEy3bxuQafYPAt,EN,Yes,Yes,Yes,Yes,School of Medicine & Health Sciences,,Physical Therapy,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,The online proctoring tool requires the student to scan their environment before the exam starts and locks access to the rest of the computer including online access outside of the exam. It provides notifications or tracks suspicious movements and activities allowing the professor to review video for exam integrity. The entire exam session is video recorded.,Yes,,,,,,Yes,Respondus,,It was the one that the program used.,"Course exam (e.g. test, midterm exam, final exam)",,2,"Frees up faculty time, allows for students to select their environment that works for them, higher level of proctoring than in person proctoring","Poor internet connectivity, hardware issues such as broken video cameras or mics or not having them on a device if it is older",Extremely likely,"From an accreditation standpoint, we are required to ensure academic integrity with assessments.",Extremely likely,"Even if we have in person class, it will be much more convenient and secure to administer the exam with online proctoring tools. It will save students money in regards to commuting costs if they are able to stay home or go to a location close to their home.",Extremely likely,"I prefer online proctoring for high level of security and convenience for students and faculty. Also, it provides exam results much faster than the previous method the program utilized. There’s decreased cost to the student if they do not need to pay for commuting costs that day.",Somewhat agree,76-100%,Yes,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Most digital tools have some level of privacy issues. Any program that can access an internal mic or video seems to be a privacy risk. There are other learning tools such as Voice thread that I believe have a privacy risk but see the benefit outweighing the risk and damage to the student.,Not at all concerned,We install so much on our devices so I don’t see this as a higher risk than other applications.,"Web browser history monitoring,Eye movement tracking,Facial detection,Lockdown browser,Screen recording,Microphone recording,Internet activity monitoring (e.g. interaction with a web site),Webcam recording",,Yes,The exams were all multiple choice and did not allow outside resources. The lockdown browser was critical and eye movements can pick up if the student is looking at notes outside of the view of the camera.,,Extremely uncomfortable,Somewhat comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Neither comfortable nor uncomfortable,Somewhat uncomfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Slightly Concerned,Slightly Concerned,Not at all Concerned,Extremely Concerned,Slightly Concerned,Slightly Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned
12/6/2021 8:24,12/6/2021 8:37,100,765,TRUE,12/6/2021 8:37,R_1dy5ZcEklvFBkRf,EN,Yes,Yes,Yes,Yes,School of Medicine & Health Sciences,,"Human Genetics, Ethics, Leadership",Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Aware,"Using the student's camera connected or embedded into their computer, a live recording of the student taking the exam is created and stored. In addition, the students' activity on the screen is monitored concurrently to identify if the student is opening an additional browser while taking the exam. A human being views each recording to flag areas of concern, such as not doing a complete environment scan, eyes moving to the side suggestive of using unauthorized materials out of view of the camera, other individuals appearing or heard in the testing environment, etc. The instructor then has access to these reports and can view the recording themselves to confirm if there is evidence of cheating.",Yes,,,,,,Yes,RPNow (),,RPNow is the one used by my department. I don't believe that I have a choice of which online proctoring service to use. It is already set up in my courses for me.,"Course exam (e.g. test, midterm exam, final exam)",,5+,"Even if not activated, students go through the RPNow system to take their exams, so they are under the impression that they are always being monitored. Ensures integrity of the exam without having to re-write questions to be open book.",Instructors having to review recordings. Flags often identified that are not true incidences of cheating. Feel uncomfortable seeing students' living situation and watching them while taking the exam.,Extremely likely,"The courses that I teach in the department have always been offered online, even before COVID, and will remain online for the foreseeable future.",Extremely likely,See last answer - department requires it,Extremely likely,See previous answer - department requires its use,Strongly agree,51-75%,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Students must show their full surroundings, which can be awkward but necessary",Not at all concerned,I'm not sure I understand the question. Software unrelated to the administration of exams through GW?,"Live proctor not visible to students,Web browser history monitoring,Eye movement tracking,Facial detection,Lockdown browser,Screen recording,Microphone recording,Internet activity monitoring (e.g. interaction with a web site),Webcam recording",,I'm Unsure,,I'm not sure.,Somewhat uncomfortable,Somewhat comfortable,Extremely comfortable,Somewhat comfortable,Somewhat uncomfortable,Extremely comfortable,Neither comfortable nor uncomfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not at all Concerned,Not at all Concerned,Not at all Concerned,Extremely Concerned,Slightly Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Not at all Concerned,Slightly Concerned
12/6/2021 8:39,12/6/2021 8:48,100,565,TRUE,12/6/2021 8:48,R_zf2G4MXsH0LQbKh,EN,Yes,Yes,Yes,Yes,Other (Please Specify),GW Law and Business School,Law and Marketing,Unaware,Unaware,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,"Lockdown one device only, monitor mouse, monitor visual eye movement, monitor key stroke",Yes,,,,,,Yes,Other (Please specify),"Not sure of name, but a lockdown",Covid,"Course exam (e.g. test, midterm exam, final exam)",,2,Health safety during covid,Privacy and 3rd party vendor data,Extremely likely,"It is not perfect, but allows the students to be protected at a minimal level so the test can be deemed fair.",Neither likely nor unlikely,We are live and the students want live interaction,Neither likely nor unlikely,I believe in person brings a level of equity,Somewhat disagree,0-25%,No,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,We need to ensure the data from the 3rd party vendors are deleted and verified.,Slightly concerned,Security and encrypted software always an issue.,Lockdown browser,,Yes,"trade off of level the playing field, privacy, and the student not feeling additional stress.",,Somewhat comfortable,Extremely comfortable,Extremely comfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely comfortable,Somewhat uncomfortable,Somewhat uncomfortable,Extremely uncomfortable,Somewhat uncomfortable,Somewhat comfortable,Extremely uncomfortable,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned
12/6/2021 8:31,12/6/2021 8:51,100,1196,TRUE,12/6/2021 8:51,R_3Ia7rRRp8jn0pVq,EN,Yes,Yes,Yes,Yes,School of Medicine & Health Sciences,,"Biochemistry, Organic Chemistry",Unaware,I'm Unsure,Unaware,Unaware,Unaware,Unaware,Aware,Unaware,"A program will monitor students through their webcam. It can detect if the student is looking at the screen or looking away (up to the ceiling in thought, down to sketch out notes, etc). It will make a note during the recording of the video so that teachers can review as necessary. Depending on how long the student looks away, the video can be flagged as possible cheating.",Yes,,,,,,Yes,Respondus,,"Respondus was the only one I was aware of. This is what the other people in my department were using, so it is the one I used.","Course exam (e.g. test, midterm exam, final exam)",,5+,It gave flexibility to the students to take the exam when convenient instead of at a set time. This was useful for students who had other responsibilities during the pandemic or were in other time zones due to not being able to move to the area.,"It feels like it takes the professor out of the equation. It is much easier to watch a classroom of students in an in-person, controlled environment. When we received word to stop using Respondus (due to pending litigation against them), I was able to proctor via Zoom. That felt more like the classroom experience on my end.",Extremely likely,"I would like to learn more about the other options (other than Respondus). I do like the aspect of proctoring myself because it feels more like a human touch, but the ease of online proctoring is very beneficial for asynchronous exams.",Neither likely nor unlikely,"I use online assessments, yes. However, we use a computer lab on campus and I proctor the assignment in person. Therefore, there is no need for the online proctoring tool.",Somewhat unlikely,"I can see them being useful for asynchronous quizzes in the future. However, we are all in person and on campus already, so it is easy for me to proctor in person.",Somewhat agree,51-75%,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"We're being constantly recorded on a daily basis - from Alexa listening in our homes to security cameras on all sorts of buildings. I don't really see it as an invasion of privacy, but that's just me.",Not at all concerned,I have read about Respondus privacy policies and security with regards to access to student computers and I have no problems or concerns with the company.,"Live proctor visible to students,Lockdown browser,Webcam recording",,Yes,"I personally was a live proctor for my students via Zoom. It was like we were together in a classroom. I have also used the webcam recording software and that was efficient. I will continue to use Lockdown Browser, which I find very useful to make sure students aren't looking at online aids.",,Extremely comfortable,Extremely uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Extremely comfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Extremely comfortable,Neither comfortable nor uncomfortable,Not at all Concerned,Slightly Concerned,Not at all Concerned,Extremely Concerned,Extremely Concerned,Extremely Concerned,Not at all Concerned,Slightly Concerned,Slightly Concerned,Somewhat Concerned,Not at all Concerned
12/6/2021 8:25,12/6/2021 8:55,100,1832,TRUE,12/6/2021 8:55,R_2ByvQ4CrDcGDzV8,EN,Yes,Yes,Yes,Yes,School of Nursing,,n/a,Aware,Aware,Unaware,Unaware,Aware,Unaware,Aware,Aware,They are all a little different. Some require the test to be downloaded prior to the examination time and then uploaded as a file once internet service resumes and some require the device to be connected to the internet while the student takes the examination.,Yes,,,,,,Yes,Examsoft,,Absence due to Covid exposure,"Course exam (e.g. test, midterm exam, final exam)",,5+,"""Flexibility while proctoring online- I could do other tasks while the exam was in progress since we were fully online. Using audio files- since students were not in a classroom, I could use audio files in my test questions.""","Test integrity. 1. I have been teaching for over 12 years and have been able to fully protect the integrity of my tests. After being online for two semesters, my test questions are now on the internet. 2. The number of academic integrity incidents was more than I had EVER encountered in my tenure. 3. I found significant errors in the proctor reviews that we were paying for which included missed integrity breaches that were significant (like a student using a resource that the proctor did not flag) and inconsistency of proctor reports based on the videos. This led to faculty mistrust of using the product and further aided students' breach of integrity when they ""got away with it"".",Somewhat unlikely,Allowing students to take an exam from home when they are quarantined keeps the student from getting behind in class. It also decreases faculty workload on trying to reschedule and proctor another test at a later date.,Extremely unlikely,The ONLY reason I would administer an online test would be because it is convenient for faculty and to keep the student from getting behind.,Extremely unlikely,Tests are invalid due to increased opportunities for students to cheat.,Strongly disagree,0-25%,Yes,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"Any program that requires you to download a file, disables your system functionality, and automatically searches your computer for files to upload is a total invasion of privacy. Additionally, the proctoring service records the student at their most vulnerable- in their home environment where they sometimes forget they are being recorded. This leaves the potential for private matters being recorded and permanently on a server somewhere... if there is a data breach of this program, these videos could be out there for anyone to see.",Extremely concerned,"Again, any program that requires you to download a file, disables your system functionality, and automatically searches your computer for files to upload is a total invasion of privacy.","Eye movement tracking,Facial detection,Lockdown browser,Keyboard restrictions (e.g. no copy and paste),Screen recording,Microphone recording,Webcam recording",,Yes,"These were features of the program, not something I personally selected.",,Somewhat comfortable,Somewhat uncomfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not at all Concerned,Not at all Concerned,Moderately Concerned,Extremely Concerned,Somewhat Concerned,Slightly Concerned,Not at all Concerned,Somewhat Concerned,Not at all Concerned,Somewhat Concerned,Moderately Concerned
