ResponseId,ArtsSciences,PublicHealth,InternationalAffairs,Business,EngineeringAppliedSci,Education,Medicine,ProfessionalStudies,Other,ArtsDesign,PoliticalManagement,PublicAffairs,Nursing,Total
R_xxgR2nBYBqt22zL,Yes,,,,,,,,,,,,,Yes
R_3L8Yuota6qEPA2Z,Yes,,,,,,,,,,,,,Yes
R_elKRE1Mhkz3aB7H,Yes,,,,,,,,,,,,,Yes
R_22G2wZhQPr0NOMF,Yes,,,,,,,,,,,,,Yes
R_1jm0AccugHTKh4W,Yes,,,,,,,,,,,,,Yes
R_3HHYAi3jlMWGeIl,Yes,,,,,,,,,,,,,Yes
R_1cYZmUuFGQPtR2U,Yes,,,,,,,,,,,,,Yes
R_2tm5hQExW5ForsK,Yes,,,,,,,,,,,,,Yes
R_a9PJA7VBZp1N9O9,Yes,,,,,,,,,,,,,Yes
R_9RCP2gPmQF9rHK9,Yes,,,,,,,,,,,,,Yes
R_WBuSYDYA2xuDQYh,Yes,,,,,,,,,,,,,Yes
R_1gcjj4iwoLqpxgB,Yes,,,,,,,,,,,,,Yes
R_1jZC3KQIUihjpOR,Yes,,,,,,,,,,,,,Yes
R_2Ygpa6T91hXAiJr,Yes,,,,,,,,,,,,,Yes
R_Y5NExEgDkOUjIn7,No,,,,,,,,,,,,,No
R_C3Vzye9ndoMM88x,No,,,,,,,,,,,,,No
R_2dgVaNawsger4T7,No,,,,,,,,,,,,,No
R_2fcSVGg2U6c2MXb,No,,,,,,,,,,,,,No
R_3rUiQC1VIie88yc,No,,,,,,,,,,,,,No
R_2z5Rfh5yoJDnxQI,No,,,,,,,,,,,,,No
R_10JJtgPJ5vEkvEy,No,,,,,,,,,,,,,No
R_vCDwu3GQIi0JCHn,No,,,,,,,,,,,,,No
R_2al47N2wbxXFDh1,No,,,,,,,,,,,,,No
R_12sxDUBTRANlxAh,No,,,,,,,,,,,,,No
R_1laTV7GioLkl7GC,No,,,,,,,,,,,,,No
R_1Lo3vqbmrfq2OSc,No,,,,,,,,,,,,,No
R_usPmuq57yl9S5FL,No,,,,,,,,,,,,,No
R_SZEy3bxuQafYPAt,No,,,,,,,,,,,,,No
R_2zcJyOL3rOl9eCd,No,,,,,,,,,,,,,No
R_3DhdmO3C0hKAjmF,No,,,,,,,,,,,,,No
R_2qgbEu23HZIOAqU,No,,,,,,,,,,,,,No
R_26nmfVuk8nYOOT7,No,,,,,,,,,,,,,No
R_1dy5ZcEklvFBkRf,No,,,,,,,,,,,,,No
R_zf2G4MXsH0LQbKh,No,,,,,,,,,,,,,No
R_3Ia7rRRp8jn0pVq,No,,,,,,,,,,,,,No
R_2ByvQ4CrDcGDzV8,No,,,,,,,,,,,,,No
R_3LbBRoje9wOhQRA,No,,,,,,,,,,,,,No
R_2wtsffSpp3iArtP,No,,,,,,,,,,,,,No
R_3DcIECQmJC5rLan,No,,,,,,,,,,,,,No
R_1eKbeLSPmt46YIu,No,,,,,,,,,,,,,No
R_3fAw4HjiCRicvSV,,Yes,,,,,,,,,,,,Yes
R_3nIU4hnDI1oIjfQ,,Yes,,,,,,,,,,,,Yes
R_080f7ur83jJNwu5,,Yes,,,,,,,,,,,,Yes
R_DDitAE9bDhnUgql,,No,,,,,,,,,,,,No
R_pJyGl4gPSX7l7AR,,No,,,,,,,,,,,,No
R_1q9uhFdqxnWPM7z,,No,,,,,,,,,,,,No
R_R9neLfVroeGJSj7,,No,,,,,,,,,,,,No
R_0U0B2olgqyGcKSB,,No,,,,,,,,,,,,No
R_1DZn1lLvUnQdssQ,,No,,,,,,,,,,,,No
R_8ijttwuU0cKUceZ,,No,,,,,,,,,,,,No
R_27pdl2TZQfXflW7,,No,,,,,,,,,,,,No
R_2SDp29v28ZlDM4f,,No,,,,,,,,,,,,No
R_27UWM1EiYGms76k,,No,,,,,,,,,,,,No
R_tYfxFu9gfkt6vW9,,No,,,,,,,,,,,,No
R_3O1ggqdW2o1ED6O,,No,,,,,,,,,,,,No
R_1GJ4fI4ldXCLjOI,,No,,,,,,,,,,,,No
R_3D0jDp50GNynGGf,,,Yes,,,,,,,,,,,Yes
R_uy2ionLPQqwyGrf,,,No,,,,,,,,,,,No
R_2e3uabfZSi1lfTm,,,No,,,,,,,,,,,No
R_1oALjHGBMZK2Tl0,,,No,,,,,,,,,,,No
R_1NwwvkujyuX4mpG,,,No,,,,,,,,,,,No
R_UxQuctG4213Pcu5,,,No,,,,,,,,,,,No
R_RCWUMNsLphkZk0F,,,No,,,,,,,,,,,No
R_tEQEo869tq2tzOh,,,No,,,,,,,,,,,No
R_3NPBh2R2iMt7VeW,,,,Yes,,,,,,,,,,Yes
R_3mgW1TjgfrdCTjI,,,,Yes,,,,,,,,,,Yes
R_1HbC0kAIur9b835,,,,No,,,,,,,,,,No
R_3sytupwrEflBlTI,,,,No,,,,,,,,,,No
R_QaJJ90CEf2yOZCV,,,,No,,,,,,,,,,No
R_tKyvpEOLSwBjVbH,,,,No,,,,,,,,,,No
R_w4NEuNRkKT8nOy5,,,,No,,,,,,,,,,No
R_30jx8vSOILPjMiF,,,,I'm Unsure,,,,,,,,,,I'm Unsure
R_1DRKoPpuRbnxnOs,,,,,Yes,,,,,,,,,Yes
R_3PpJZEczV5RnR6u,,,,,Yes,,,,,,,,,Yes
R_233o6HL3YqVM3cs,,,,,No,,,,,,,,,No
R_2tM2H3FnzTmXrgs,,,,,No,,,,,,,,,No
R_2vdidSYAV1JmYIt,,,,,No,,,,,,,,,No
R_211cDsxTjtUvN6h,,,,,No,,,,,,,,,No
R_3iRsl0B3QrTEfxN,,,,,I'm Unsure,,,,,,,,,I'm Unsure
R_3qVgAjBxR2F6oXx,,,,,,No,,,,,,,,No
R_2Sf1Vut3f1TgHKd,,,,,,No,,,,,,,,No
R_0oKhAGAqhiKVgNX,,,,,,No,,,,,,,,No
R_1onCUPhQRfLiZ0E,,,,,,No,,,,,,,,No
R_2aDIELLn4oy7rNy,,,,,,No,,,,,,,,No
R_2tlZohIbvRSb9CC,,,,,,No,,,,,,,,No
R_3O9eWH7emH7BtmM,,,,,,,Yes,,,,,,,Yes
R_T4WwqSQxQZb4O53,,,,,,,No,,,,,,,No
R_R9urgsPVMgTqLaF,,,,,,,No,,,,,,,No
R_307EYv4RFgiW672,,,,,,,No,,,,,,,No
R_2PzKOOn0yHeLdVF,,,,,,,No,,,,,,,No
R_1rqRoO7vHJP4Vh1,,,,,,,,No,,,,,,No
R_31FSGNhja32PnoS,,,,,,,,No,,,,,,No
R_1NyVWtmGrLfvswm,,,,,,,,No,,,,,,No
R_24Bl50GG9gnxnww,,,,,,,,,No,,,,,No
R_2YMvWaESi0rZX5E,,,,,,,,,No,,,,,No
R_2WZ1vAHPkYDJ5rS,,,,,,,,,,No,,,,No
R_vpKTSO9KtxwyzfP,,,,,,,,,,,No,,,No
R_1Qmc5taIHgtiqm7,,,,,,,,,,,,Yes,,Yes
R_qEZVjMViTlsTs3v,,,,,,,,,,,,,Yes,Yes
