ResponseId,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_13,Q29_14
R_xxgR2nBYBqt22zL,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
R_3rUiQC1VIie88yc,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
R_10JJtgPJ5vEkvEy,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
R_1laTV7GioLkl7GC,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No
R_1Lo3vqbmrfq2OSc,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
R_SZEy3bxuQafYPAt,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
R_1dy5ZcEklvFBkRf,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
R_zf2G4MXsH0LQbKh,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
R_3Ia7rRRp8jn0pVq,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
R_2ByvQ4CrDcGDzV8,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No
R_2wtsffSpp3iArtP,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
R_DDitAE9bDhnUgql,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
R_R9neLfVroeGJSj7,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
R_1DZn1lLvUnQdssQ,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
R_1GJ4fI4ldXCLjOI,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
R_uy2ionLPQqwyGrf,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
R_1HbC0kAIur9b835,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
R_QaJJ90CEf2yOZCV,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No
R_1Qmc5taIHgtiqm7,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
R_1JRgXi5Eg2fMWYz,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
R_2whmJviFAaRw9RV,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
R_2dhlE62KjqYZ0hI,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
R_1LRJoZJO7s9RGf7,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
R_1r07Pa4ecdVBFus,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
R_1IQQnYLDAqQoVUI,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
R_OcI5fmeuckGNlqV,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
